Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
302.,Capri Global,159.08,34.24,13125.95,0.09,128.08,88.41,820.77,35.57,9.50
303.,Mishra Dhatu Nig,270.06,50.44,5059.30,0.52,25.27,102.32,237.96,-5.56,9.44
304.,Can Fin Homes,601.75,9.63,8012.55,1.00,212.12,5.99,986.11,9.42,9.26
305.,Mahindra Holiday,299.10,44.90,6042.33,0.00,35.42,230.86,678.43,6.87,9.24
306.,Religare Enterp.,242.45,273.20,8015.53,0.00,-63.28,-320.92,1664.43,10.19,9.24
307.,MMTC,50.41,47.34,7561.50,0.00,3.66,-93.48,0.25,-65.75,9.23
308.,Interise,113.00,,11779.25,,-156.83,,1762.63,15.89,9.19
309.,Whirlpool India,941.85,36.18,11949.42,0.53,44.53,57.06,1704.85,11.02,9.07
310.,Birla Corpn.,996.50,33.81,7674.05,1.00,31.19,-71.42,2256.65,-2.33,9.01
311.,DCM Shriram,986.75,28.33,15387.61,0.67,262.14,9.01,3366.81,10.93,8.99
312.,Equitas Sma. Fin,57.29,20.89,6530.27,1.75,66.30,-67.18,1611.93,12.82,8.97
313.,Health.Global,496.95,124.32,6928.25,0.00,7.75,103.50,558.57,18.88,8.92
314.,Anupam Rasayan,788.10,108.72,8663.69,0.16,54.21,53.12,390.14,32.02,8.89
315.,Atul,5541.15,39.23,16314.12,0.36,117.10,53.28,1416.83,24.52,8.74
316.,Vardhman Textile,366.25,12.51,10591.03,1.09,211.77,31.44,2465.30,5.83,8.73
317.,Devyani Intl.,152.39,1370.79,18382.29,0.00,-7.64,-109.66,1294.40,53.52,8.73
318.,RHI Magnesita,392.30,39.08,8101.05,0.64,47.54,20.72,1010.70,9.51,8.58
319.,Anant Raj,490.55,43.54,16771.45,0.15,110.37,54.44,534.64,36.29,8.56
320.,HEG,400.20,34.85,7722.96,1.12,83.40,90.98,478.38,-14.94,8.54
321.,ACME Solar Hold.,201.07,98.94,12166.50,0.00,112.06,181.16,349.01,5.24,8.41
322.,Nexus Select,129.64,38.14,19640.46,,118.73,11.11,601.44,5.28,8.32
323.,A B Real Estate,1775.30,1087.38,19829.33,0.28,-42.37,-134.53,956.70,-10.61,8.31
324.,Swan Energy,398.10,16.02,12478.72,0.03,561.95,388.19,1908.19,19.89,8.25
325.,The Ramco Cement,801.55,96.82,18940.02,0.31,181.58,-94.13,1983.45,-6.04,8.10
326.,Sheela Foam,709.30,90.56,7709.90,0.00,18.59,-39.58,967.11,10.04,7.97
327.,National Standar,3670.00,531.50,7340.00,0.00,2.15,-56.30,15.69,5.87,7.92
328.,Strides Pharma,587.55,21.73,5415.02,0.43,90.04,413.47,1153.67,14.71,7.85
329.,Aether Industri.,891.65,98.13,11822.41,0.00,40.85,79.48,197.40,27.06,7.82
330.,G N F C,482.40,14.12,7088.42,3.42,158.00,66.32,1899.00,-9.05,7.71
331.,Aarti Industries,382.75,38.01,13875.45,0.26,46.00,-62.90,1840.00,6.24,7.47
332.,S C I,148.69,7.42,6925.98,0.34,64.80,-50.93,1302.97,-2.80,7.43
333.,Reliance Infra.,218.44,524.17,8653.09,0.00,-3186.33,70.77,5032.55,8.51,7.38
334.,Sapphire Foods,304.15,396.58,9760.64,0.00,12.73,21.87,756.54,13.67,7.27
335.,T N Merc. Bank,409.65,5.67,6486.87,2.44,300.24,5.63,1331.02,8.29,7.18
336.,Sobha,1203.55,211.36,12865.37,0.25,21.69,43.83,1224.09,78.72,7.12
337.,IndiGrid Trust,140.91,31.37,11759.76,7.98,98.73,165.57,835.78,16.70,7.08
338.,Karur Vysya Bank,186.71,7.98,15029.62,1.29,496.03,20.50,2486.01,16.20,6.89
339.,Jubilant Pharmo,866.45,41.43,13802.55,0.58,100.70,73.07,1821.70,8.62,6.74
340.,Paradeep Phosph.,92.80,18.31,7565.15,0.54,158.75,45.75,4104.92,58.18,6.74
341.,Entero Healthcar,1174.00,56.68,5107.80,0.00,29.45,275.22,1359.00,36.91,6.71
342.,Medplus Health,709.10,64.15,8487.49,0.00,45.87,234.57,1561.45,8.32,6.66
343.,Juniper Hotels,262.20,95.40,5834.01,0.00,30.34,14347.62,216.14,7.02,6.63
344.,Keystone Realtor,520.65,47.99,6561.56,0.00,29.98,-49.56,464.02,-10.88,6.58
345.,City Union Bank,149.08,10.13,11046.62,1.01,286.00,13.03,1478.74,11.50,6.57
346.,RBL Bank,156.32,9.55,9502.12,0.96,47.32,-80.68,3536.55,10.81,6.30
347.,Infibeam Avenues,17.95,22.23,5006.51,0.28,64.40,44.75,1070.35,18.00,6.27
348.,Zee Entertainmen,100.16,16.23,9620.56,1.00,163.60,251.17,1978.80,-3.27,6.26
349.,Karnataka Bank,171.71,5.01,6489.44,3.20,283.60,-14.34,2243.02,6.17,6.24
